FBgn,X114,X115,X116,X117
FBgn0034724,0.357,0.361667,0.188,0.0936667
FBgn0031245,0.09,0.213,0.548,0.15
FBgn0026875,0.412,0.208,0.213,0.167
FBgn0010078,0.22125,0.244,0.241,0.294
FBgn0014010,0.28075,0.2905,0.28825,0.14075
FBgn0000635,0.300179,0.319036,0.252429,0.128464
FBgn0031590,0.078,0.181,0.576,0.166
FBgn0003391,0.261571,0.225571,0.347714,0.165143
FBgn0004551,0.11822,0.290493,0.44726,0.143924
FBgn0038271,0.2946,0.1078,0.1118,0.4856
FBgn0034751,0.2535,0.1365,0.1415,0.469
FBgn0012036,0.265667,0.0908333,0.0856667,0.558167
FBgn0022343,0.277,0.138333,0.129667,0.455667
FBgn0020367,0.3885,0.207,0.255,0.1495
FBgn0031662,0.113,0.3085,0.443,0.1345
FBgn0034802,0.237,0.159,0.1485,0.4555
FBgn0029866,0.2472,0.2526,0.3396,0.1606
FBgn0010488,0.229,0.145,0.176,0.45
FBgn0026708,0.32375,0.12025,0.108,0.44825
FBgn0031670,0.078,0.305,0.477,0.141
FBgn0036824,0.2965,0.0925,0.086,0.5255
FBgn0005533,0.167,0.16,0.107,0.565
FBgn0017567,0.381,0.0595,0.071,0.488
FBgn0015393,0.159333,0.129,0.109667,0.601667
FBgn0036650,0.097,0.269,0.471,0.163
FBgn0036816,0.33275,0.22675,0.2915,0.149
FBgn0020370,0.222692,0.0955385,0.0841538,0.597538
FBgn0003071,0.464,0.145,0.151,0.239
FBgn0040078,0.2055,0.1535,0.1845,0.456
FBgn0033800,0.094,0.2935,0.4325,0.18
FBgn0034743,0.200833,0.156167,0.132833,0.510167
FBgn0002593,0.256875,0.277125,0.23675,0.2295
FBgn0028336,0.2835,0.1425,0.084,0.49
FBgn0038017,0.174,0.479,0.226,0.121
FBgn0004648,0.113424,0.528939,0.242727,0.115061
FBgn0026061,0.357,0.304,0.223,0.1155
FBgn0003285,0.3035,0.3385,0.204,0.1545
FBgn0026208,0.139,0.143,0.1815,0.5365
FBgn0001218,0.0891538,0.276667,0.492205,0.142077
FBgn0002524,0.099,0.303,0.48,0.118
FBgn0031256,0.154667,0.244667,0.442667,0.158
FBgn0036642,0.354667,0.0963333,0.107333,0.441333
FBgn0001225,0.3365,0.1095,0.1725,0.381
FBgn0015791,0.311,0.339,0.241,0.108
FBgn0011708,0.1045,0.424,0.3105,0.1615
FBgn0038805,0.3305,0.1135,0.1125,0.4435
FBgn0038376,0.244667,0.191667,0.247333,0.316333
FBgn0001125,0.297111,0.0824444,0.0684444,0.552333
FBgn0015567,0.3516,0.1884,0.2774,0.1828
FBgn0001219,0.407643,0.184286,0.1795,0.228643
FBgn0016691,0.362286,0.0737143,0.0924286,0.471571
FBgn0010438,0.3985,0.144,0.184,0.2735
FBgn0036279,0.3245,0.2395,0.3025,0.1335
FBgn0037024,0.3055,0.2605,0.1775,0.2565
FBgn0000667,0.407,0.225,0.238,0.131
FBgn0028479,0.2976,0.0844,0.0947,0.5236
FBgn0039073,0.1345,0.289,0.3775,0.1995
FBgn0016119,0.3175,0.079,0.0725,0.531
FBgn0010256,0.1935,0.122,0.154,0.5305
FBgn0010412,0.19675,0.13175,0.154,0.5175
FBgn0001226,0.3625,0.124,0.14325,0.37
FBgn0026170,0.284,0.149,0.15,0.417
FBgn0029903,0.373,0.225,0.201,0.201
FBgn0027080,0.28,0.173,0.192,0.355
FBgn0025352,0.271,0.0953333,0.105667,0.527333
FBgn0013349,0.406,0.253,0.2,0.141667
FBgn0029924,0.073,0.061,0.309,0.558
FBgn0027108,0.23975,0.24125,0.34075,0.178
FBgn0040064,0.328,0.0928,0.08,0.4992
FBgn0026616,0.074,0.606,0.215667,0.104333
FBgn0011272,0.140923,0.198231,0.281077,0.379692
FBgn0033814,0.107,0.25,0.387,0.256
FBgn0033816,0.315667,0.109667,0.122,0.453
FBgn0039349,0.291,0.069,0.111,0.529
FBgn0035032,0.363,0.0705,0.063,0.504
FBgn0011260,0.119,0.299333,0.422,0.159933
FBgn0038742,0.308,0.1275,0.129,0.4355
FBgn0036623,0.1,0.1963,0.5584,0.1443
FBgn0043456,0.101,0.112,0.171,0.616
FBgn0036622,0.0993333,0.173,0.565,0.162667
FBgn0011584,0.082,0.2505,0.489,0.1785
FBgn0035600,0.331,0.085,0.134,0.451
FBgn0035602,0.082,0.326,0.46,0.131
FBgn0030792,0.116667,0.326,0.408667,0.148333
FBgn0011823,0.303,0.256,0.228,0.213
FBgn0037874,0.528,0.189,0.18,0.104
FBgn0037010,0.104,0.282,0.488,0.127
FBgn0030796,0.528,0.276,0.1335,0.062
FBgn0020910,0.1305,0.18,0.3085,0.3805
FBgn0034237,0.265,0.1225,0.156,0.4565
FBgn0005593,0.125167,0.150833,0.273833,0.4505
FBgn0003721,0.3245,0.3005,0.2435,0.1315
FBgn0032198,0.500333,0.183333,0.168333,0.147667
FBgn0003274,0.256,0.237,0.266,0.2415
FBgn0016701,0.3376,0.371,0.2016,0.09
FBgn0038320,0.42325,0.1945,0.1975,0.185
FBgn0026084,0.613,0.177,0.126,0.083
FBgn0034258,0.264857,0.0874286,0.126429,0.521429
FBgn0032217,0.0715,0.194,0.5705,0.164
FBgn0024734,0.374,0.275,0.172,0.179
FBgn0026409,0.348667,0.0796667,0.109,0.462667
FBgn0027948,0.32075,0.143,0.17325,0.363
FBgn0011787,0.3155,0.064,0.0725,0.54775
FBgn0029687,0.121286,0.282714,0.429,0.167286
FBgn0036579,0.089,0.305,0.454,0.152
FBgn0039358,0.239,0.227,0.193,0.341
FBgn0031313,0.204714,0.381857,0.255286,0.158143
FBgn0003031,0.2175,0.106667,0.136333,0.5395
FBgn0038038,0.0965,0.193,0.507,0.2035
FBgn0027835,0.18475,0.12,0.156,0.5395
FBgn0034350,0.236,0.13,0.193,0.44
FBgn0038039,0.0913333,0.241333,0.529333,0.138
FBgn0013763,0.3992,0.1756,0.15,0.2754
FBgn0037891,0.303,0.0746667,0.058,0.564
FBgn0021764,0.3225,0.283,0.248,0.147
FBgn0029148,0.145,0.093,0.112,0.65
FBgn0031912,0.292,0.074,0.048,0.586
FBgn0010405,0.402,0.166,0.16,0.272
FBgn0036566,0.322667,0.388333,0.181333,0.107667
FBgn0015282,0.469,0.153,0.126,0.252
FBgn0015268,0.408,0.2435,0.196,0.1525
FBgn0034925,0.214,0.371,0.238,0.177
FBgn0032237,0.3735,0.152,0.161,0.313
FBgn0003676,0.297125,0.144625,0.15875,0.399625
FBgn0038950,0.06575,0.4785,0.3225,0.133
FBgn0005674,0.2221,0.1141,0.0992,0.5648
FBgn0010235,0.34,0.113,0.166,0.381
FBgn0026178,0.3175,0.2405,0.2705,0.1715
FBgn0011016,0.0724,0.3614,0.4646,0.1016
FBgn0002543,0.2995,0.3,0.257,0.144
FBgn0034368,0.127,0.2295,0.50575,0.13775
FBgn0001197,0.0842,0.0814,0.1772,0.6576
FBgn0003279,0.13725,0.198375,0.296125,0.3685
FBgn0039160,0.101,0.325,0.429667,0.144667
FBgn0039562,0.0869535,0.225907,0.528023,0.15914
FBgn0032444,0.258,0.121,0.172,0.449
FBgn0034902,0.124,0.229667,0.454333,0.192667
FBgn0034914,0.107,0.30375,0.4225,0.1665
FBgn0024234,0.057,0.144,0.641,0.158
FBgn0003022,0.0893333,0.301667,0.392111,0.217444
FBgn0039537,0.247,0.066,0.1705,0.516
FBgn0025698,0.296,0.303,0.273,0.127
FBgn0036974,0.2535,0.15225,0.1835,0.41125
FBgn0034708,0.359,0.214,0.242,0.185
FBgn0036258,0.359,0.268,0.124,0.249
FBgn0035946,0.301,0.119,0.167,0.413
FBgn0022959,0.213,0.097,0.113,0.577
FBgn0002921,0.303571,0.281434,0.277183,0.137949
FBgn0030853,0.288,0.0605,0.1065,0.5445
FBgn0024320,0.199,0.163,0.315,0.324
FBgn0035937,0.131,0.337,0.357,0.175
FBgn0028468,0.116,0.153,0.553,0.178
FBgn0015790,0.353857,0.320571,0.18,0.145714
FBgn0039207,0.414,0.291,0.1735,0.1215
FBgn0038863,0.063,0.3,0.475,0.162
FBgn0000636,0.280636,0.271273,0.299364,0.148727
FBgn0025678,0.0905833,0.2795,0.494083,0.136167
FBgn0013272,0.188,0.372333,0.320333,0.119333
FBgn0038519,0.2978,0.085,0.0694,0.5478
FBgn0011771,0.40275,0.20375,0.20575,0.188
FBgn0039125,0.1195,0.2705,0.4285,0.1815
FBgn0038868,0.089,0.1976,0.5566,0.1568
FBgn0039132,0.213,0.393,0.185,0.209
FBgn0003471,0.250313,0.275562,0.303375,0.170625
FBgn0028375,0.0976667,0.298667,0.450333,0.153667
FBgn0015795,0.2288,0.3646,0.2756,0.1308
FBgn0004867,0.246667,0.152667,0.131333,0.469333
FBgn0036211,0.083,0.202,0.562,0.1535
FBgn0031781,0.343,0.1595,0.2555,0.243
FBgn0036752,0.23,0.264,0.242,0.2635
FBgn0036555,0.092,0.487,0.246,0.175
FBgn0016120,0.379333,0.0653333,0.0813333,0.474667
FBgn0036198,0.325,0.2705,0.262,0.1425
FBgn0038349,0.186,0.183,0.279,0.352
FBgn0024556,0.284,0.118,0.0965,0.5015
FBgn0000064,0.505,0.153,0.1775,0.164
FBgn0036182,0.4645,0.2115,0.2065,0.118
FBgn0027865,0.321,0.3055,0.2495,0.1235
FBgn0015756,0.178,0.2195,0.226,0.377
FBgn0004401,0.09,0.059,0.108,0.743
FBgn0014877,0.283,0.104,0.087,0.526
FBgn0036155,0.261,0.068,0.316,0.354
FBgn0039156,0.1255,0.0875,0.349,0.438
FBgn0032340,0.211,0.127,0.1235,0.5385
FBgn0022355,0.3808,0.3246,0.1454,0.1488
FBgn0036147,0.1384,0.3826,0.3652,0.1138
FBgn0019925,0.092,0.238,0.519,0.151
FBgn0028734,0.2236,0.1188,0.1244,0.5336
FBgn0027611,0.158,0.197,0.278,0.367
FBgn0036141,0.131,0.243667,0.46,0.165333
FBgn0032456,0.29,0.250625,0.2915,0.168
FBgn0013269,0.198,0.2105,0.23725,0.3545
FBgn0027582,0.103364,0.255182,0.478273,0.163
FBgn0017579,0.142,0.2195,0.2908,0.3475
FBgn0032350,0.5545,0.17925,0.134,0.1325
FBgn0036735,0.218,0.141,0.107,0.534
FBgn0028737,0.4546,0.2018,0.1852,0.1582
FBgn0019957,0.395,0.079,0.057,0.469
FBgn0034277,0.0722857,0.213429,0.584143,0.129857
FBgn0030930,0.075,0.425,0.339667,0.16
FBgn0032646,0.282,0.0865,0.1165,0.515
FBgn0029688,0.136,0.2505,0.2595,0.354
FBgn0032643,0.093875,0.27075,0.486,0.149
FBgn0019960,0.366,0.07975,0.09175,0.46275
FBgn0034259,0.321,0.08575,0.088,0.5055
FBgn0036710,0.097,0.289,0.441,0.173
FBgn0010409,0.163364,0.2,0.265091,0.371273
FBgn0036702,0.34,0.091,0.117,0.452
FBgn0033879,0.3061,0.149,0.1075,0.4375
FBgn0034214,0.104,0.214,0.503,0.179
FBgn0000634,0.348,0.302556,0.219444,0.130222
FBgn0015797,0.171,0.5335,0.1835,0.112
FBgn0026418,0.473,0.24,0.172,0.115
FBgn0004363,0.308692,0.108462,0.131538,0.451462
FBgn0039213,0.0915,0.307833,0.473833,0.1265
FBgn0032292,0.088,0.351,0.455,0.106
FBgn0032398,0.072,0.155,0.595,0.178
FBgn0027088,0.515,0.17,0.123,0.192
FBgn0002622,0.2105,0.143875,0.14875,0.497125
FBgn0037912,0.560111,0.190556,0.143889,0.105444
FBgn0040237,0.314,0.092,0.108,0.486
FBgn0026207,0.121,0.108,0.14,0.631
FBgn0035909,0.0773,0.3105,0.4472,0.165
FBgn0013997,0.231444,0.270556,0.328444,0.169556
FBgn0020254,0.387444,0.180444,0.201444,0.230556
FBgn0036825,0.14,0.2065,0.285833,0.367667
FBgn0014075,0.0861765,0.296941,0.468059,0.148647
FBgn0036484,0.051,0.025,0.342,0.582
FBgn0000261,0.109,0.049,0.299,0.542
FBgn0002525,0.074,0.0993,0.3545,0.4721
FBgn0039004,0.078,0.153,0.085,0.684
FBgn0011253,0.349,0.109,0.307,0.235
FBgn0037960,0.379,0.271,0.262,0.089
FBgn0040284,0.084,0.102,0.204,0.61
FBgn0014002,0.0867172,0.264253,0.500879,0.148152
FBgn0035121,0.1223,0.0888,0.1129,0.6763
FBgn0028325,0.307667,0.0756667,0.0746667,0.541333
FBgn0039234,0.323333,0.247,0.256,0.173667
FBgn0027095,0.0758333,0.240167,0.544,0.14
FBgn0038277,0.241333,0.168,0.16,0.431
FBgn0030086,0.416667,0.241333,0.157667,0.184
FBgn0003178,0.365714,0.170714,0.168286,0.295143
FBgn0038947,0.163087,0.372043,0.263652,0.201217
FBgn0001090,0.259,0.38025,0.25175,0.108875
FBgn0015609,0.1955,0.31525,0.3525,0.13675
FBgn0020618,0.207714,0.210286,0.258429,0.323286
FBgn0021765,0.285833,0.0681667,0.0861667,0.560167
FBgn0002527,0.1314,0.2322,0.4436,0.193
FBgn0001248,0.3625,0.175,0.1165,0.346
FBgn0004003,0.0448,0.302,0.5254,0.1278
FBgn0000565,0.106,0.344,0.434,0.116
FBgn0036213,0.167462,0.200769,0.27,0.361769
FBgn0031379,0.161,0.397,0.298,0.144
FBgn0040493,0.441,0.1885,0.143,0.2275
FBgn0025617,0.103667,0.317,0.424167,0.155167
FBgn0038722,0.074,0.3905,0.1595,0.376
FBgn0028541,0.076,0.537,0.2645,0.1225
FBgn0021953,0.0956667,0.336333,0.427333,0.140667
FBgn0037580,0.358,0.163,0.167,0.312
FBgn0036762,0.265,0.09,0.17,0.474
FBgn0036927,0.306333,0.116,0.103333,0.473667
FBgn0015288,0.142667,0.169,0.270667,0.417667
FBgn0020392,0.2008,0.1242,0.182,0.4936
FBgn0014362,0.146,0.125,0.165,0.564
FBgn0011673,0.334,0.261,0.251,0.154
FBgn0034432,0.3385,0.0765,0.0825,0.5025
FBgn0017645,0.301,0.374714,0.212714,0.111571
FBgn0037573,0.1,0.078,0.111,0.711
FBgn0036745,0.0805,0.3745,0.42525,0.12
FBgn0000100,0.220917,0.276833,0.2335,0.268917
FBgn0010349,0.249933,0.109667,0.169,0.471733
FBgn0038533,0.183667,0.204333,0.278667,0.333333
FBgn0003501,0.386333,0.272,0.181667,0.16
FBgn0035793,0.289,0.2145,0.161,0.3355
FBgn0030990,0.0775,0.282,0.456,0.1835
FBgn0012051,0.358,0.318333,0.158,0.164667
FBgn0036728,0.318,0.063,0.073,0.546
FBgn0020496,0.09,0.378,0.294,0.239
FBgn0020240,0.2346,0.2662,0.325,0.174267
FBgn0015283,0.362,0.208,0.147,0.282
FBgn0002579,0.143,0.195,0.263,0.3985
FBgn0032026,0.380714,0.304857,0.184429,0.130429
FBgn0036928,0.291,0.143,0.135,0.431
FBgn0038538,0.2942,0.3456,0.2182,0.1424
FBgn0038610,0.2045,0.1545,0.2155,0.425
FBgn0044871,0.097,0.507,0.208,0.188
FBgn0013325,0.15825,0.15875,0.25025,0.43275
FBgn0036509,0.257,0.237,0.25,0.256
FBgn0026189,0.063,0.274,0.506,0.156
FBgn0028695,0.411,0.157,0.118,0.314
FBgn0001308,0.352333,0.158667,0.197,0.291667
FBgn0039704,0.099,0.139,0.459,0.304
FBgn0039713,0.228143,0.142286,0.139,0.490571
FBgn0032015,0.0695,0.270833,0.5155,0.144
FBgn0039697,0.2762,0.0914,0.0914,0.5416
FBgn0032012,0.113,0.2805,0.4805,0.126
FBgn0030658,0.113,0.318,0.431,0.137
FBgn0004603,0.3718,0.2586,0.24,0.1298
FBgn0033039,0.109063,0.277562,0.39325,0.219875
FBgn0042693,0.365,0.223,0.243,0.169
FBgn0016685,0.251,0.279667,0.235333,0.233667
FBgn0039737,0.309,0.098,0.09925,0.49375
FBgn0002626,0.1425,0.1955,0.2675,0.3945
FBgn0025725,0.145333,0.091,0.136333,0.627
FBgn0010350,0.11,0.289,0.451,0.151
FBgn0026372,0.098125,0.179375,0.329875,0.392375
FBgn0034117,0.241,0.234,0.19,0.334
FBgn0038587,0.351545,0.0726364,0.0794545,0.496636
FBgn0015477,0.38475,0.324,0.1425,0.14875
FBgn0037607,0.442,0.1895,0.1715,0.1975
FBgn0027554,0.114875,0.269375,0.438125,0.176875
FBgn0020611,0.30125,0.286,0.197,0.2155
FBgn0033382,0.135,0.305,0.4,0.16
FBgn0028469,0.302,0.327,0.212,0.159
FBgn0003328,0.2865,0.3215,0.2555,0.137
FBgn0037689,0.223,0.413,0.182,0.183
FBgn0019644,0.32325,0.0935,0.093,0.49025
FBgn0024754,0.306,0.30325,0.24425,0.14675
FBgn0026193,0.351,0.205,0.204,0.241
FBgn0037711,0.132,0.563,0.206,0.099
FBgn0027329,0.355667,0.151444,0.136778,0.356111
FBgn0033342,0.543,0.2206,0.1136,0.1228
FBgn0004921,0.369,0.4185,0.1405,0.0715
FBgn0000556,0.258789,0.129474,0.167737,0.443895
FBgn0037718,0.0916667,0.285333,0.486333,0.136667
FBgn0030854,0.061,0.08,0.147,0.712
FBgn0034142,0.0585,0.283,0.514,0.1445
FBgn0004236,0.4965,0.1325,0.221,0.15
FBgn0033902,0.233667,0.095,0.173,0.498333
FBgn0020236,0.278,0.1535,0.18775,0.3805
FBgn0033906,0.103,0.309667,0.432,0.155333
FBgn0010339,0.188,0.126,0.152,0.533
FBgn0037632,0.346833,0.265,0.159833,0.228333
FBgn0003425,0.192,0.348,0.325,0.135
FBgn0034060,0.0876667,0.276333,0.469667,0.166667
FBgn0010348,0.506,0.137,0.227,0.13
FBgn0034066,0.085,0.321,0.459,0.136
FBgn0014020,0.35775,0.284,0.24075,0.11725
FBgn0023167,0.092,0.081,0.134,0.692
FBgn0010621,0.459667,0.176667,0.142,0.222333
FBgn0034087,0.209667,0.115333,0.165,0.510333
FBgn0031996,0.089,0.21,0.583,0.1185
FBgn0028343,0.1094,0.2854,0.4512,0.154
FBgn0033914,0.2965,0.109,0.0925,0.502
FBgn0031993,0.2725,0.302,0.28125,0.14475
FBgn0037756,0.0941667,0.299667,0.472833,0.133667
FBgn0001220,0.320833,0.0725,0.0728333,0.534
FBgn0011592,0.299667,0.349667,0.223,0.128
FBgn0035771,0.10075,0.274875,0.498125,0.125875
FBgn0011640,0.091,0.078,0.148,0.684
FBgn0035762,0.261,0.068,0.316,0.354
FBgn0035753,0.12725,0.2105,0.274,0.38825
FBgn0033317,0.163667,0.123,0.164,0.549
FBgn0013726,0.3605,0.173,0.1715,0.295
FBgn0020279,0.115,0.1895,0.1035,0.592
FBgn0033235,0.326,0.126,0.0935,0.4545
FBgn0010609,0.146182,0.351273,0.380545,0.122182
FBgn0033309,0.122667,0.288333,0.462,0.126667
FBgn0017565,0.2545,0.1815,0.1575,0.4065
FBgn0016078,0.178,0.34,0.313,0.169
FBgn0033717,0.112,0.297,0.4388,0.1524
FBgn0033699,0.154667,0.132667,0.186,0.526667
FBgn0038145,0.313,0.178,0.1555,0.3535
FBgn0033688,0.105,0.0825,0.119,0.694
FBgn0015834,0.272667,0.125333,0.116333,0.485667
FBgn0001092,0.386,0.219,0.183,0.212
FBgn0010411,0.219833,0.116667,0.132667,0.530667
FBgn0028967,0.140333,0.105333,0.275333,0.479333
FBgn0004839,0.309286,0.307143,0.234143,0.149714
FBgn0015019,0.34175,0.189,0.16,0.309
FBgn0033663,0.0941622,0.263189,0.489811,0.153
FBgn0010516,0.266333,0.211667,0.176333,0.345333
FBgn0034176,0.1295,0.1875,0.505167,0.178
FBgn0000319,0.279667,0.225583,0.22575,0.269167
FBgn0014868,0.116,0.277,0.4616,0.1453
FBgn0033631,0.458,0.192,0.204,0.146
FBgn0021795,0.0885556,0.283222,0.478444,0.149889
FBgn0001128,0.197,0.07,0.258,0.476
FBgn0030703,0.0865,0.362,0.426,0.126
FBgn0001942,0.5175,0.1655,0.1485,0.1675
FBgn0030805,0.049,0.348,0.467,0.136
FBgn0030616,0.1795,0.4215,0.1245,0.2745
FBgn0022023,0.2385,0.111,0.119,0.5315
FBgn0045073,0.10175,0.285,0.46325,0.15
FBgn0035195,0.120857,0.309429,0.423714,0.146
FBgn0030791,0.291,0.212,0.296,0.201
FBgn0031879,0.2335,0.23225,0.34425,0.19025
FBgn0025682,0.104267,0.2308,0.509133,0.1556
FBgn0028419,0.084,0.277,0.524,0.115
FBgn0031779,0.109333,0.382,0.396667,0.112333
FBgn0003138,0.126571,0.407429,0.332286,0.134286
FBgn0035208,0.1245,0.418,0.1995,0.258
FBgn0035206,0.121333,0.285,0.451667,0.141667
FBgn0005655,0.276,0.148,0.268,0.3075
FBgn0040285,0.296,0.455,0.156,0.093
FBgn0036887,0.366,0.059,0.055,0.52
FBgn0010100,0.331,0.091,0.0893333,0.488333
FBgn0032916,0.10025,0.2545,0.5065,0.139
FBgn0015776,0.2735,0.214,0.3035,0.2095
FBgn0015777,0.242,0.3005,0.3145,0.143
FBgn0032906,0.1,0.163,0.199,0.537
FBgn0003887,0.499333,0.194667,0.150167,0.156
FBgn0030672,0.141375,0.126375,0.16875,0.563625
FBgn0032518,0.138957,0.211391,0.290348,0.359435
FBgn0000454,0.402,0.126,0.17,0.302
FBgn0032514,0.100714,0.201571,0.536571,0.160714
FBgn0004873,0.287,0.247,0.288,0.178
FBgn0032885,0.274,0.154667,0.290333,0.281333
FBgn0003150,0.3875,0.153,0.1435,0.3155
FBgn0032904,0.101667,0.3068,0.449,0.142467
FBgn0037701,0.0693333,0.062,0.0696667,0.799333
FBgn0003205,0.342,0.27775,0.23525,0.145
FBgn0015778,0.16425,0.116,0.135,0.58475
FBgn0037719,0.092,0.323,0.413,0.171
FBgn0005585,0.0674,0.1982,0.6012,0.1332
FBgn0028401,0.401,0.252,0.206,0.14
FBgn0032078,0.084,0.6,0.221,0.096
FBgn0031815,0.1435,0.223,0.48,0.153
FBgn0026571,0.0827143,0.138571,0.588429,0.190143
FBgn0031090,0.291,0.360333,0.240667,0.108
FBgn0031092,0.272,0.13,0.178,0.421
FBgn0040529,0.323,0.085,0.119,0.473
FBgn0003089,0.0613333,0.166,0.56,0.212667
FBgn0010173,0.091,0.09625,0.162,0.651
FBgn0027528,0.2915,0.2265,0.261,0.2205
FBgn0025582,0.248,0.109333,0.106667,0.536
FBgn0004556,0.316,0.1585,0.193,0.333
FBgn0004108,0.339067,0.286467,0.2504,0.124067
FBgn0036661,0.305,0.243,0.239,0.213
FBgn0030768,0.067,0.392,0.404,0.137
FBgn0016797,0.356,0.305,0.24,0.098
FBgn0000171,0.283,0.143667,0.192333,0.381
FBgn0040075,0.229,0.1415,0.2005,0.429
FBgn0027570,0.249333,0.279,0.29,0.181333
FBgn0011455,0.306,0.079,0.117,0.498
FBgn0038149,0.325,0.2438,0.2624,0.1692
FBgn0037249,0.2668,0.1012,0.117,0.5148
FBgn0010470,0.0865,0.2055,0.5595,0.1485
FBgn0003062,0.0945,0.0965,0.135,0.674
FBgn0030734,0.0931429,0.203571,0.548286,0.155
FBgn0004432,0.3555,0.184,0.148,0.3125
FBgn0004925,0.343,0.1395,0.138,0.3795
FBgn0035726,0.124,0.058,0.343,0.476
FBgn0001215,0.052,0.061,0.095,0.792
